"staff_id","staff_name","staff_role_id","staff_phone","staff_email","staff_age","level_of_experience",
"1","κ. Σταύρος Μεταξάς","1","+30 24 44828005","","26","0",
"2","κος. Βαρθολομαίος Παπαστεφάνου","2","6017 149120","","56","0",
"3","κος. Παυσανίας Παπαγεωργίου","3","+306191219365","δημούλα.αλεξίου@example.org","16","0",
"4","Μενέλαος Ανδρεάδης","1","+30 26 82400445","","15","0",
"5","Αγαθόνικος Ανδρεάδης","2","6546410145","βησσαρία40@example.net","38","0",
"6","Καλή Σωπολιάτη","3","","σωτήριος58@example.org","22","0",
"7","Αμβροσία Γαλάνη","1","","ήρα67@example.org","56","0",
"8","δνις. Επιστήμη Ξανθοπούλου","2","+30 2227 176244","","20","0",
"9","Γλαύκη Ράφτη","3","6310459533","pρέντης@example.com","70","0",
"10","Βάιος Χριστόπουλος","1","+306163841139","ναθαναήλ71@example.net","64","0",
"11","Κόσμια Αργυρού","2","+30 60 51228371","","42","0",
"12","κος. Ανανίας Παπαγεωργίου","3","","","32","0",
"13","Έλλη Παπακωνσταντίνου","1","2815 662190","","22","0",
"14","Αντύπας Οικονομίδης","2","","","49","0",
"15","Ασημίνα Λάσκαρη","3","","","51","0",
"16","Θαλής Τρικούπη","1","+302590934714","","76","0",
"17","Ιοκάστη Αντωνοπούλου","2","2221373977","μαντώ.θεωδώρου@example.net","18","0",
"18","Ουρανία Παπαδοπούλου","3","","gελευθερόπουλος@example.org","40","0",
"19","Νεκταρία Κωνσταντινίδου","1","6098 577314","βενιζέλος.αστέριος@example.org","75","0",
"20","Παναγία Οικονομίδου","2","","καλύβας.δάφνη@example.org","30","0",
"21","Εύα Κοκκίνου","3","+302482175588","χρυσοβαλάντω34@example.org","31","0",
"22","Εύα Ανδρέου","1","","","68","0",
"23","Λαυρεντία Οικονόμου","2","","ρηγούλα58@example.org","69","0",
"24","Ευριπίδης Κοντολέων","3","","σιδέρης.δημούλα@example.org","69","0",
"25","Κασσάνδρα Παπακωνσταντίνου","1","+30 6279 431739","αναστασίου.επιστήμη@example.net","37","0",
