festival_year	festival_month	festival_day	staff_id	staff_name	staff_email	staff_phone
2016	5	1	40	Alexandra Kouris	kouris@gmail.com	99223344
2016	5	1	21	Andreas Charalambous	charalambous@gmail.com	99112233
2016	5	1	19	Costas Hadjikyriacou	hadjikyriacou@gmail.com	99999000
2016	5	1	18	Despina Nicolaou	nicolaou@gmail.com	99888999
2016	5	1	22	Elena Kallis	kallis@gmail.com	99223344
2016	5	1	39	Lebron James	savva@gmail.com	99112233
2016	5	1	20	Marina Spyrou	spyrou@gmail.com	99000111
2016	5	2	40	Alexandra Kouris	kouris@gmail.com	99223344
2016	5	2	21	Andreas Charalambous	charalambous@gmail.com	99112233
2016	5	2	19	Costas Hadjikyriacou	hadjikyriacou@gmail.com	99999000
2016	5	2	18	Despina Nicolaou	nicolaou@gmail.com	99888999
2016	5	2	22	Elena Kallis	kallis@gmail.com	99223344
2016	5	2	39	Lebron James	savva@gmail.com	99112233
2016	5	2	20	Marina Spyrou	spyrou@gmail.com	99000111
2016	5	3	40	Alexandra Kouris	kouris@gmail.com	99223344
2016	5	3	21	Andreas Charalambous	charalambous@gmail.com	99112233
2016	5	3	19	Costas Hadjikyriacou	hadjikyriacou@gmail.com	99999000
2016	5	3	18	Despina Nicolaou	nicolaou@gmail.com	99888999
2016	5	3	22	Elena Kallis	kallis@gmail.com	99223344
2016	5	3	39	Lebron James	savva@gmail.com	99112233
2016	5	3	20	Marina Spyrou	spyrou@gmail.com	99000111
2016	5	4	40	Alexandra Kouris	kouris@gmail.com	99223344
2016	5	4	21	Andreas Charalambous	charalambous@gmail.com	99112233
2016	5	4	19	Costas Hadjikyriacou	hadjikyriacou@gmail.com	99999000
2016	5	4	18	Despina Nicolaou	nicolaou@gmail.com	99888999
2016	5	4	22	Elena Kallis	kallis@gmail.com	99223344
2016	5	4	39	Lebron James	savva@gmail.com	99112233
2016	5	4	20	Marina Spyrou	spyrou@gmail.com	99000111
2017	7	1	40	Alexandra Kouris	kouris@gmail.com	99223344
2017	7	1	21	Andreas Charalambous	charalambous@gmail.com	99112233
2017	7	1	19	Costas Hadjikyriacou	hadjikyriacou@gmail.com	99999000
2017	7	1	18	Despina Nicolaou	nicolaou@gmail.com	99888999
2017	7	1	22	Elena Kallis	kallis@gmail.com	99223344
2017	7	1	39	Lebron James	savva@gmail.com	99112233
2017	7	1	20	Marina Spyrou	spyrou@gmail.com	99000111
2017	7	2	40	Alexandra Kouris	kouris@gmail.com	99223344
2017	7	2	21	Andreas Charalambous	charalambous@gmail.com	99112233
2017	7	2	19	Costas Hadjikyriacou	hadjikyriacou@gmail.com	99999000
2017	7	2	18	Despina Nicolaou	nicolaou@gmail.com	99888999
2017	7	2	22	Elena Kallis	kallis@gmail.com	99223344
2017	7	2	39	Lebron James	savva@gmail.com	99112233
2017	7	2	20	Marina Spyrou	spyrou@gmail.com	99000111
2017	7	3	40	Alexandra Kouris	kouris@gmail.com	99223344
2017	7	3	21	Andreas Charalambous	charalambous@gmail.com	99112233
2017	7	3	19	Costas Hadjikyriacou	hadjikyriacou@gmail.com	99999000
2017	7	3	18	Despina Nicolaou	nicolaou@gmail.com	99888999
2017	7	3	22	Elena Kallis	kallis@gmail.com	99223344
2017	7	3	39	Lebron James	savva@gmail.com	99112233
2017	7	3	20	Marina Spyrou	spyrou@gmail.com	99000111
2017	7	4	40	Alexandra Kouris	kouris@gmail.com	99223344
2017	7	4	21	Andreas Charalambous	charalambous@gmail.com	99112233
2017	7	4	19	Costas Hadjikyriacou	hadjikyriacou@gmail.com	99999000
2017	7	4	18	Despina Nicolaou	nicolaou@gmail.com	99888999
2017	7	4	22	Elena Kallis	kallis@gmail.com	99223344
2017	7	4	39	Lebron James	savva@gmail.com	99112233
2017	7	4	20	Marina Spyrou	spyrou@gmail.com	99000111
2018	10	1	40	Alexandra Kouris	kouris@gmail.com	99223344
2018	10	1	21	Andreas Charalambous	charalambous@gmail.com	99112233
2018	10	1	19	Costas Hadjikyriacou	hadjikyriacou@gmail.com	99999000
2018	10	1	18	Despina Nicolaou	nicolaou@gmail.com	99888999
2018	10	1	22	Elena Kallis	kallis@gmail.com	99223344
2018	10	1	39	Lebron James	savva@gmail.com	99112233
2018	10	1	20	Marina Spyrou	spyrou@gmail.com	99000111
2018	10	2	40	Alexandra Kouris	kouris@gmail.com	99223344
2018	10	2	21	Andreas Charalambous	charalambous@gmail.com	99112233
2018	10	2	19	Costas Hadjikyriacou	hadjikyriacou@gmail.com	99999000
2018	10	2	18	Despina Nicolaou	nicolaou@gmail.com	99888999
2018	10	2	22	Elena Kallis	kallis@gmail.com	99223344
2018	10	2	39	Lebron James	savva@gmail.com	99112233
2018	10	2	20	Marina Spyrou	spyrou@gmail.com	99000111
2019	7	1	40	Alexandra Kouris	kouris@gmail.com	99223344
2019	7	1	21	Andreas Charalambous	charalambous@gmail.com	99112233
2019	7	1	19	Costas Hadjikyriacou	hadjikyriacou@gmail.com	99999000
2019	7	1	18	Despina Nicolaou	nicolaou@gmail.com	99888999
2019	7	1	22	Elena Kallis	kallis@gmail.com	99223344
2019	7	1	39	Lebron James	savva@gmail.com	99112233
2019	7	1	20	Marina Spyrou	spyrou@gmail.com	99000111
2019	7	2	40	Alexandra Kouris	kouris@gmail.com	99223344
2019	7	2	21	Andreas Charalambous	charalambous@gmail.com	99112233
2019	7	2	19	Costas Hadjikyriacou	hadjikyriacou@gmail.com	99999000
2019	7	2	18	Despina Nicolaou	nicolaou@gmail.com	99888999
2019	7	2	22	Elena Kallis	kallis@gmail.com	99223344
2019	7	2	39	Lebron James	savva@gmail.com	99112233
2019	7	2	20	Marina Spyrou	spyrou@gmail.com	99000111
2019	7	3	40	Alexandra Kouris	kouris@gmail.com	99223344
2019	7	3	21	Andreas Charalambous	charalambous@gmail.com	99112233
2019	7	3	19	Costas Hadjikyriacou	hadjikyriacou@gmail.com	99999000
2019	7	3	18	Despina Nicolaou	nicolaou@gmail.com	99888999
2019	7	3	22	Elena Kallis	kallis@gmail.com	99223344
2019	7	3	39	Lebron James	savva@gmail.com	99112233
2019	7	3	20	Marina Spyrou	spyrou@gmail.com	99000111
2020	8	1	40	Alexandra Kouris	kouris@gmail.com	99223344
2020	8	1	21	Andreas Charalambous	charalambous@gmail.com	99112233
2020	8	1	19	Costas Hadjikyriacou	hadjikyriacou@gmail.com	99999000
2020	8	1	18	Despina Nicolaou	nicolaou@gmail.com	99888999
2020	8	1	22	Elena Kallis	kallis@gmail.com	99223344
2020	8	1	39	Lebron James	savva@gmail.com	99112233
2020	8	1	20	Marina Spyrou	spyrou@gmail.com	99000111
2020	8	2	40	Alexandra Kouris	kouris@gmail.com	99223344
2020	8	2	21	Andreas Charalambous	charalambous@gmail.com	99112233
2020	8	2	19	Costas Hadjikyriacou	hadjikyriacou@gmail.com	99999000
2020	8	2	18	Despina Nicolaou	nicolaou@gmail.com	99888999
2020	8	2	22	Elena Kallis	kallis@gmail.com	99223344
2020	8	2	39	Lebron James	savva@gmail.com	99112233
2020	8	2	20	Marina Spyrou	spyrou@gmail.com	99000111
2020	8	3	40	Alexandra Kouris	kouris@gmail.com	99223344
2020	8	3	21	Andreas Charalambous	charalambous@gmail.com	99112233
2020	8	3	19	Costas Hadjikyriacou	hadjikyriacou@gmail.com	99999000
2020	8	3	18	Despina Nicolaou	nicolaou@gmail.com	99888999
2020	8	3	22	Elena Kallis	kallis@gmail.com	99223344
2020	8	3	39	Lebron James	savva@gmail.com	99112233
2020	8	3	20	Marina Spyrou	spyrou@gmail.com	99000111
2021	9	1	40	Alexandra Kouris	kouris@gmail.com	99223344
2021	9	1	21	Andreas Charalambous	charalambous@gmail.com	99112233
2021	9	1	19	Costas Hadjikyriacou	hadjikyriacou@gmail.com	99999000
2021	9	1	18	Despina Nicolaou	nicolaou@gmail.com	99888999
2021	9	1	22	Elena Kallis	kallis@gmail.com	99223344
2021	9	1	39	Lebron James	savva@gmail.com	99112233
2021	9	1	20	Marina Spyrou	spyrou@gmail.com	99000111
2021	9	2	40	Alexandra Kouris	kouris@gmail.com	99223344
2021	9	2	21	Andreas Charalambous	charalambous@gmail.com	99112233
2021	9	2	19	Costas Hadjikyriacou	hadjikyriacou@gmail.com	99999000
2021	9	2	18	Despina Nicolaou	nicolaou@gmail.com	99888999
2021	9	2	22	Elena Kallis	kallis@gmail.com	99223344
2021	9	2	39	Lebron James	savva@gmail.com	99112233
2021	9	2	20	Marina Spyrou	spyrou@gmail.com	99000111
2021	9	3	40	Alexandra Kouris	kouris@gmail.com	99223344
2021	9	3	21	Andreas Charalambous	charalambous@gmail.com	99112233
2021	9	3	19	Costas Hadjikyriacou	hadjikyriacou@gmail.com	99999000
2021	9	3	18	Despina Nicolaou	nicolaou@gmail.com	99888999
2021	9	3	22	Elena Kallis	kallis@gmail.com	99223344
2021	9	3	39	Lebron James	savva@gmail.com	99112233
2021	9	3	20	Marina Spyrou	spyrou@gmail.com	99000111
2022	5	1	40	Alexandra Kouris	kouris@gmail.com	99223344
2022	5	1	21	Andreas Charalambous	charalambous@gmail.com	99112233
2022	5	1	19	Costas Hadjikyriacou	hadjikyriacou@gmail.com	99999000
2022	5	1	18	Despina Nicolaou	nicolaou@gmail.com	99888999
2022	5	1	22	Elena Kallis	kallis@gmail.com	99223344
2022	5	1	39	Lebron James	savva@gmail.com	99112233
2022	5	1	20	Marina Spyrou	spyrou@gmail.com	99000111
2022	5	2	40	Alexandra Kouris	kouris@gmail.com	99223344
2022	5	2	21	Andreas Charalambous	charalambous@gmail.com	99112233
2022	5	2	19	Costas Hadjikyriacou	hadjikyriacou@gmail.com	99999000
2022	5	2	18	Despina Nicolaou	nicolaou@gmail.com	99888999
2022	5	2	22	Elena Kallis	kallis@gmail.com	99223344
2022	5	2	39	Lebron James	savva@gmail.com	99112233
2022	5	2	20	Marina Spyrou	spyrou@gmail.com	99000111
2023	6	1	40	Alexandra Kouris	kouris@gmail.com	99223344
2023	6	1	21	Andreas Charalambous	charalambous@gmail.com	99112233
2023	6	1	19	Costas Hadjikyriacou	hadjikyriacou@gmail.com	99999000
2023	6	1	18	Despina Nicolaou	nicolaou@gmail.com	99888999
2023	6	1	22	Elena Kallis	kallis@gmail.com	99223344
2023	6	1	39	Lebron James	savva@gmail.com	99112233
2023	6	1	20	Marina Spyrou	spyrou@gmail.com	99000111
2023	6	2	40	Alexandra Kouris	kouris@gmail.com	99223344
2023	6	2	21	Andreas Charalambous	charalambous@gmail.com	99112233
2023	6	2	19	Costas Hadjikyriacou	hadjikyriacou@gmail.com	99999000
2023	6	2	18	Despina Nicolaou	nicolaou@gmail.com	99888999
2023	6	2	22	Elena Kallis	kallis@gmail.com	99223344
2023	6	2	39	Lebron James	savva@gmail.com	99112233
2023	6	2	20	Marina Spyrou	spyrou@gmail.com	99000111
2023	6	3	40	Alexandra Kouris	kouris@gmail.com	99223344
2023	6	3	21	Andreas Charalambous	charalambous@gmail.com	99112233
2023	6	3	19	Costas Hadjikyriacou	hadjikyriacou@gmail.com	99999000
2023	6	3	18	Despina Nicolaou	nicolaou@gmail.com	99888999
2023	6	3	22	Elena Kallis	kallis@gmail.com	99223344
2023	6	3	39	Lebron James	savva@gmail.com	99112233
2023	6	3	20	Marina Spyrou	spyrou@gmail.com	99000111
2024	8	1	40	Alexandra Kouris	kouris@gmail.com	99223344
2024	8	1	21	Andreas Charalambous	charalambous@gmail.com	99112233
2024	8	1	19	Costas Hadjikyriacou	hadjikyriacou@gmail.com	99999000
2024	8	1	18	Despina Nicolaou	nicolaou@gmail.com	99888999
2024	8	1	22	Elena Kallis	kallis@gmail.com	99223344
2024	8	1	39	Lebron James	savva@gmail.com	99112233
2024	8	1	20	Marina Spyrou	spyrou@gmail.com	99000111
2024	8	2	40	Alexandra Kouris	kouris@gmail.com	99223344
2024	8	2	21	Andreas Charalambous	charalambous@gmail.com	99112233
2024	8	2	19	Costas Hadjikyriacou	hadjikyriacou@gmail.com	99999000
2024	8	2	18	Despina Nicolaou	nicolaou@gmail.com	99888999
2024	8	2	22	Elena Kallis	kallis@gmail.com	99223344
2024	8	2	39	Lebron James	savva@gmail.com	99112233
2024	8	2	20	Marina Spyrou	spyrou@gmail.com	99000111
2024	8	3	40	Alexandra Kouris	kouris@gmail.com	99223344
2024	8	3	21	Andreas Charalambous	charalambous@gmail.com	99112233
2024	8	3	19	Costas Hadjikyriacou	hadjikyriacou@gmail.com	99999000
2024	8	3	18	Despina Nicolaou	nicolaou@gmail.com	99888999
2024	8	3	22	Elena Kallis	kallis@gmail.com	99223344
2024	8	3	39	Lebron James	savva@gmail.com	99112233
2024	8	3	20	Marina Spyrou	spyrou@gmail.com	99000111
2024	8	4	40	Alexandra Kouris	kouris@gmail.com	99223344
2024	8	4	21	Andreas Charalambous	charalambous@gmail.com	99112233
2024	8	4	19	Costas Hadjikyriacou	hadjikyriacou@gmail.com	99999000
2024	8	4	18	Despina Nicolaou	nicolaou@gmail.com	99888999
2024	8	4	22	Elena Kallis	kallis@gmail.com	99223344
2024	8	4	39	Lebron James	savva@gmail.com	99112233
2024	8	4	20	Marina Spyrou	spyrou@gmail.com	99000111
2024	8	5	40	Alexandra Kouris	kouris@gmail.com	99223344
2024	8	5	21	Andreas Charalambous	charalambous@gmail.com	99112233
2024	8	5	19	Costas Hadjikyriacou	hadjikyriacou@gmail.com	99999000
2024	8	5	18	Despina Nicolaou	nicolaou@gmail.com	99888999
2024	8	5	22	Elena Kallis	kallis@gmail.com	99223344
2024	8	5	39	Lebron James	savva@gmail.com	99112233
2024	8	5	20	Marina Spyrou	spyrou@gmail.com	99000111
2025	9	1	40	Alexandra Kouris	kouris@gmail.com	99223344
2025	9	1	21	Andreas Charalambous	charalambous@gmail.com	99112233
2025	9	1	19	Costas Hadjikyriacou	hadjikyriacou@gmail.com	99999000
2025	9	1	18	Despina Nicolaou	nicolaou@gmail.com	99888999
2025	9	1	22	Elena Kallis	kallis@gmail.com	99223344
2025	9	1	39	Lebron James	savva@gmail.com	99112233
2025	9	1	20	Marina Spyrou	spyrou@gmail.com	99000111
2025	9	2	40	Alexandra Kouris	kouris@gmail.com	99223344
2025	9	2	21	Andreas Charalambous	charalambous@gmail.com	99112233
2025	9	2	19	Costas Hadjikyriacou	hadjikyriacou@gmail.com	99999000
2025	9	2	18	Despina Nicolaou	nicolaou@gmail.com	99888999
2025	9	2	22	Elena Kallis	kallis@gmail.com	99223344
2025	9	2	39	Lebron James	savva@gmail.com	99112233
2025	9	2	20	Marina Spyrou	spyrou@gmail.com	99000111
2025	9	3	40	Alexandra Kouris	kouris@gmail.com	99223344
2025	9	3	21	Andreas Charalambous	charalambous@gmail.com	99112233
2025	9	3	19	Costas Hadjikyriacou	hadjikyriacou@gmail.com	99999000
2025	9	3	18	Despina Nicolaou	nicolaou@gmail.com	99888999
2025	9	3	22	Elena Kallis	kallis@gmail.com	99223344
2025	9	3	39	Lebron James	savva@gmail.com	99112233
2025	9	3	20	Marina Spyrou	spyrou@gmail.com	99000111
2025	9	4	40	Alexandra Kouris	kouris@gmail.com	99223344
2025	9	4	21	Andreas Charalambous	charalambous@gmail.com	99112233
2025	9	4	19	Costas Hadjikyriacou	hadjikyriacou@gmail.com	99999000
2025	9	4	18	Despina Nicolaou	nicolaou@gmail.com	99888999
2025	9	4	22	Elena Kallis	kallis@gmail.com	99223344
2025	9	4	39	Lebron James	savva@gmail.com	99112233
2025	9	4	20	Marina Spyrou	spyrou@gmail.com	99000111
2026	3	1	40	Alexandra Kouris	kouris@gmail.com	99223344
2026	3	1	21	Andreas Charalambous	charalambous@gmail.com	99112233
2026	3	1	19	Costas Hadjikyriacou	hadjikyriacou@gmail.com	99999000
2026	3	1	18	Despina Nicolaou	nicolaou@gmail.com	99888999
2026	3	1	22	Elena Kallis	kallis@gmail.com	99223344
2026	3	1	39	Lebron James	savva@gmail.com	99112233
2026	3	1	20	Marina Spyrou	spyrou@gmail.com	99000111
2027	7	1	40	Alexandra Kouris	kouris@gmail.com	99223344
2027	7	1	21	Andreas Charalambous	charalambous@gmail.com	99112233
2027	7	1	19	Costas Hadjikyriacou	hadjikyriacou@gmail.com	99999000
2027	7	1	18	Despina Nicolaou	nicolaou@gmail.com	99888999
2027	7	1	22	Elena Kallis	kallis@gmail.com	99223344
2027	7	1	39	Lebron James	savva@gmail.com	99112233
2027	7	1	20	Marina Spyrou	spyrou@gmail.com	99000111
2027	7	3	40	Alexandra Kouris	kouris@gmail.com	99223344
2027	7	3	21	Andreas Charalambous	charalambous@gmail.com	99112233
2027	7	3	19	Costas Hadjikyriacou	hadjikyriacou@gmail.com	99999000
2027	7	3	18	Despina Nicolaou	nicolaou@gmail.com	99888999
2027	7	3	22	Elena Kallis	kallis@gmail.com	99223344
2027	7	3	39	Lebron James	savva@gmail.com	99112233
2027	7	3	20	Marina Spyrou	spyrou@gmail.com	99000111
2027	7	5	40	Alexandra Kouris	kouris@gmail.com	99223344
2027	7	5	21	Andreas Charalambous	charalambous@gmail.com	99112233
2027	7	5	19	Costas Hadjikyriacou	hadjikyriacou@gmail.com	99999000
2027	7	5	18	Despina Nicolaou	nicolaou@gmail.com	99888999
2027	7	5	22	Elena Kallis	kallis@gmail.com	99223344
2027	7	5	39	Lebron James	savva@gmail.com	99112233
2027	7	5	20	Marina Spyrou	spyrou@gmail.com	99000111
